model,policy,dataset,conflict_name,primary_constraint_met,secondary_constraint_met,none_constraint_met,conflict_recognized
Llama-3.1-8B-conflict,baseline_all_user,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.8,0.04,0.16,0.0
Llama-3.1-8B-conflict,baseline_all_user,conflicting_instructions,num_sentence_conflict: 10_5,0.86,0.01,0.13,0.01
Llama-3.1-8B-conflict,baseline_all_user,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.89,0.0,0.11,0.0
Llama-3.1-8B-conflict,baseline_all_user,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.35,0.09,0.56,0.01
Llama-3.1-8B-conflict,baseline_all_user,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.85,0.01,0.14,0.0
Llama-3.1-8B-conflict,baseline_all_user,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.81,0.0,0.19,0.0
Llama-3.1-8B-conflict,baseline_all_user,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.76,0.0,0.24,0.01
Llama-3.1-8B-conflict,baseline_all_user,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.13,0.28,0.59,0.01
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.76,0.01,0.23,0.01
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions,num_sentence_conflict: 10_5,0.6,0.0,0.4,0.0
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.92,0.01,0.07,0.0
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.39,0.13,0.48,0.01
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.68,0.03,0.29,0.01
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.41,0.0,0.59,0.01
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.74,0.04,0.22,0.0
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.02,0.32,0.66,0.01
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.67,0.02,0.31,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions,num_sentence_conflict: 10_5,0.77,0.0,0.23,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.87,0.01,0.12,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.51,0.1,0.39,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.94,0.01,0.05,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.96,0.01,0.03,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.85,0.02,0.13,0.01
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.36,0.1,0.54,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.73,0.05,0.22,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions,num_sentence_conflict: 10_5,0.65,0.01,0.34,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.97,0.0,0.03,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.36,0.11,0.53,0.01
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.76,0.01,0.23,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.47,0.02,0.51,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.75,0.05,0.2,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.03,0.32,0.65,0.01
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.88,0.0,0.12,0.07
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions,num_sentence_conflict: 10_5,0.82,0.01,0.17,0.01
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.85,0.01,0.14,0.05
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.48,0.07,0.45,0.04
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.9,0.03,0.07,0.03
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.85,0.0,0.15,0.0
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.86,0.02,0.12,0.0
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.14,0.16,0.7,0.01
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.86,0.0,0.14,0.04
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions,num_sentence_conflict: 10_5,0.68,0.03,0.29,0.05
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.83,0.04,0.13,0.03
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.12,0.36,0.52,0.03
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.88,0.02,0.1,0.03
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.85,0.0,0.15,0.02
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.79,0.04,0.17,0.01
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.2,0.2,0.6,0.01
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.9,0.02,0.08,0.16
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions,num_sentence_conflict: 10_5,0.73,0.01,0.26,0.111
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.87,0.04,0.09,0.13
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.49,0.1,0.41,0.05
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.92,0.02,0.06,0.04
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.87,0.0,0.13,0.05
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.82,0.02,0.16,0.04
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.2,0.21,0.59,0.04
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.89,0.0,0.11,0.15
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions,num_sentence_conflict: 10_5,0.71,0.01,0.28,0.15
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.68,0.07,0.25,0.14
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.09,0.45,0.46,0.09
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.9,0.03,0.07,0.06
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.85,0.0,0.15,0.03
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.7,0.04,0.26,0.02
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.11,0.28,0.61,0.02
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.8,0.01,0.19,0.0
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions,num_sentence_conflict: 10_5,0.79,0.0,0.21,0.0
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.87,0.01,0.12,0.01
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.41,0.11,0.48,0.02
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.77,0.01,0.22,0.01
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.48,0.0,0.52,0.0
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.71,0.04,0.25,0.0
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.07,0.34,0.59,0.0
Llama-3.1-8B-conflict,unmarked_system_basic,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.83,0.03,0.14,0.03
Llama-3.1-8B-conflict,unmarked_system_basic,conflicting_instructions,num_sentence_conflict: 10_5,0.74,0.0,0.26,0.02
Llama-3.1-8B-conflict,unmarked_system_basic,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.94,0.0,0.06,0.03
Llama-3.1-8B-conflict,unmarked_system_basic,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.47,0.09,0.44,0.04
Llama-3.1-8B-conflict,unmarked_system_basic,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.91,0.01,0.08,0.02
Llama-3.1-8B-conflict,unmarked_system_basic,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.83,0.0,0.17,0.01
Llama-3.1-8B-conflict,unmarked_system_basic,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.77,0.0,0.23,0.0
