model,policy,dataset,primary_constraint_met,secondary_constraint_met,none_constraint_met,conflict_recognized
Llama-3.1-8B-conflict,baseline_all_user,conflicting_instructions,0.763,0.013,0.223,0.0
Llama-3.1-8B-conflict,baseline_all_user,conflicting_instructions_reversed,0.845,0.03,0.125,0.002
Llama-3.1-8B-conflict,baseline_all_user,conflicting_instructions_rich_context,0.517,0.182,0.302,0.0
Llama-3.1-8B-conflict,baseline_all_user,conflicting_instructions_rich_context_reversed,0.625,0.065,0.31,0.002
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions,0.647,0.052,0.302,0.0
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_reversed,0.843,0.025,0.132,0.0
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_rich_context,0.295,0.29,0.415,0.002
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_rich_context_reversed,0.6,0.082,0.318,0.005
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions,0.788,0.018,0.193,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_reversed,0.867,0.022,0.112,0.003
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_rich_context,0.822,0.005,0.173,0.003
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_rich_context_reversed,0.722,0.025,0.253,0.003
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions,0.645,0.048,0.307,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_reversed,0.842,0.025,0.133,0.002
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_rich_context,0.307,0.257,0.437,0.005
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_rich_context_reversed,0.622,0.067,0.312,0.005
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions,0.783,0.013,0.203,0.015
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_reversed,0.863,0.02,0.117,0.023
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_rich_context,0.507,0.19,0.303,0.007
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_rich_context_reversed,0.658,0.05,0.292,0.008
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions,0.747,0.01,0.243,0.058
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_reversed,0.817,0.045,0.138,0.027
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_rich_context,0.557,0.173,0.27,0.01
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_rich_context_reversed,0.625,0.067,0.308,0.007
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions,0.767,0.018,0.215,0.105
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_reversed,0.843,0.028,0.128,0.073
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_rich_context,0.488,0.183,0.328,0.02
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_rich_context_reversed,0.643,0.073,0.283,0.013
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions,0.752,0.015,0.233,0.145
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_reversed,0.72,0.067,0.213,0.102
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_rich_context,0.563,0.177,0.26,0.035
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_rich_context_reversed,0.643,0.087,0.27,0.013
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions,0.747,0.015,0.238,0.005
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_reversed,0.855,0.023,0.122,0.005
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_rich_context,0.313,0.262,0.425,0.007
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_rich_context_reversed,0.595,0.123,0.282,0.005
Llama-3.1-8B-conflict,unmarked_system_basic,conflicting_instructions,0.758,0.005,0.237,0.017
Llama-3.1-8B-conflict,unmarked_system_basic,conflicting_instructions_reversed,0.845,0.035,0.12,0.01
Llama-3.1-8B-conflict,unmarked_system_basic,conflicting_instructions_rich_context,0.465,0.197,0.338,0.008
Llama-3.1-8B-conflict,unmarked_system_basic,conflicting_instructions_rich_context_reversed,0.643,0.057,0.3,0.0
Llama-3.1-8B-conflict,unmarked_system_detailed,conflicting_instructions,0.787,0.01,0.203,0.005
Llama-3.1-8B-conflict,unmarked_system_detailed,conflicting_instructions_reversed,0.84,0.035,0.125,0.005
Llama-3.1-8B-conflict,unmarked_system_detailed,conflicting_instructions_rich_context,0.518,0.173,0.308,0.005
Llama-3.1-8B-conflict,unmarked_system_detailed,conflicting_instructions_rich_context_reversed,0.627,0.067,0.307,0.003
Llama-3.1-8B-conflict,unmarked_user_basic,conflicting_instructions,0.76,0.015,0.225,0.103
Llama-3.1-8B-conflict,unmarked_user_basic,conflicting_instructions_reversed,0.852,0.03,0.118,0.053
Llama-3.1-8B-conflict,unmarked_user_basic,conflicting_instructions_rich_context,0.512,0.173,0.315,0.018
Llama-3.1-8B-conflict,unmarked_user_basic,conflicting_instructions_rich_context_reversed,0.643,0.053,0.303,0.015
Llama-3.1-8B-conflict,unmarked_user_detailed,conflicting_instructions,0.743,0.01,0.247,0.103
Llama-3.1-8B-conflict,unmarked_user_detailed,conflicting_instructions_reversed,0.808,0.032,0.16,0.078
Llama-3.1-8B-conflict,unmarked_user_detailed,conflicting_instructions_rich_context,0.528,0.177,0.295,0.025
Llama-3.1-8B-conflict,unmarked_user_detailed,conflicting_instructions_rich_context_reversed,0.632,0.067,0.302,0.008
