model,policy,simple_recognition,rich_recognition,average_recognition
qwen2.5-7b-instruct,constraint_following_baseline,0.0008333333333333334,0.0016666666666666668,0.00125
qwen2.5-7b-instruct,baseline_all_user,0.06833333333333334,0.021666666666666667,0.045000000000000005
qwen2.5-7b-instruct,basic_separation,0.0008333333333333334,0.004166666666666667,0.0025
qwen2.5-7b-instruct,task_specified_separation,0.005,0.0075,0.00625
qwen2.5-7b-instruct,emphasized_separation,0.005833333333333333,0.0075,0.006666666666666666
qwen2.5-7b-instruct,unmarked_system_basic,0.08750000000000001,0.02,0.053750000000000006
qwen2.5-7b-instruct,marked_system_basic,0.20083333333333334,0.023333333333333334,0.11208333333333334
qwen2.5-7b-instruct,unmarked_user_basic,0.1758333333333333,0.05833333333333333,0.11708333333333332
qwen2.5-7b-instruct,marked_user_basic,0.345,0.09250000000000001,0.21875
gpt-4o-mini-2024-07-18,constraint_following_baseline,0.0,0.0016666666666666668,0.0008333333333333334
gpt-4o-mini-2024-07-18,baseline_all_user,0.006666666666666667,0.012499999999999999,0.009583333333333333
gpt-4o-mini-2024-07-18,basic_separation,0.021666666666666667,0.0425,0.03208333333333334
gpt-4o-mini-2024-07-18,task_specified_separation,0.0025,0.035833333333333335,0.01916666666666667
gpt-4o-mini-2024-07-18,emphasized_separation,0.020833333333333332,0.08916666666666667,0.055
gpt-4o-mini-2024-07-18,unmarked_system_basic,0.023333333333333334,0.02,0.021666666666666667
gpt-4o-mini-2024-07-18,marked_system_basic,0.0008333333333333334,0.0025,0.0016666666666666668
gpt-4o-mini-2024-07-18,unmarked_user_basic,0.034999999999999996,0.025000000000000005,0.03
gpt-4o-mini-2024-07-18,marked_user_basic,0.006666666666666667,0.0033333333333333335,0.005
gpt-4o-2024-11-20,constraint_following_baseline,0.0016666666666666668,0.0025,0.0020833333333333333
gpt-4o-2024-11-20,baseline_all_user,0.15083333333333335,0.16666666666666666,0.15875
gpt-4o-2024-11-20,basic_separation,0.12000000000000001,0.18749999999999997,0.15375
gpt-4o-2024-11-20,task_specified_separation,0.10416666666666667,0.18999999999999997,0.14708333333333332
gpt-4o-2024-11-20,emphasized_separation,0.24083333333333332,0.2141666666666667,0.2275
gpt-4o-2024-11-20,unmarked_system_basic,0.25416666666666665,0.30333333333333334,0.27875
gpt-4o-2024-11-20,marked_system_basic,0.23250000000000004,0.32916666666666666,0.2808333333333334
gpt-4o-2024-11-20,unmarked_user_basic,0.3266666666666667,0.2816666666666667,0.3041666666666667
gpt-4o-2024-11-20,marked_user_basic,0.21666666666666667,0.39666666666666667,0.30666666666666664
claude-3-5-sonnet-20241022,constraint_following_baseline,0.0008333333333333334,0.006666666666666667,0.0037500000000000003
claude-3-5-sonnet-20241022,baseline_all_user,0.1758333333333333,0.15000000000000002,0.16291666666666665
claude-3-5-sonnet-20241022,basic_separation,0.02666666666666667,0.06999999999999999,0.04833333333333333
claude-3-5-sonnet-20241022,task_specified_separation,0.005833333333333334,0.036666666666666674,0.021250000000000005
claude-3-5-sonnet-20241022,emphasized_separation,0.14583333333333334,0.12083333333333333,0.13333333333333333
claude-3-5-sonnet-20241022,unmarked_system_basic,0.1425,0.10333333333333335,0.12291666666666667
claude-3-5-sonnet-20241022,marked_system_basic,0.07333333333333336,0.05833333333333335,0.06583333333333335
claude-3-5-sonnet-20241022,unmarked_user_basic,0.09166666666666667,0.09750000000000002,0.09458333333333335
claude-3-5-sonnet-20241022,marked_user_basic,0.018333333333333337,0.02416666666666667,0.021250000000000005
Llama-3.1-8B,constraint_following_baseline,0.049999999999999996,0.085,0.0675
Llama-3.1-8B,baseline_all_user,0.2783333333333334,0.2116666666666666,0.245
Llama-3.1-8B,basic_separation,0.15916666666666668,0.23083333333333336,0.195
Llama-3.1-8B,task_specified_separation,0.09833333333333334,0.145,0.12166666666666667
Llama-3.1-8B,emphasized_separation,0.22416666666666663,0.2983333333333334,0.26125
Llama-3.1-8B,unmarked_system_basic,0.245,0.21583333333333335,0.23041666666666666
Llama-3.1-8B,marked_system_basic,0.6416666666666667,0.445,0.5433333333333333
Llama-3.1-8B,unmarked_user_basic,0.5066666666666667,0.3116666666666666,0.4091666666666667
Llama-3.1-8B,marked_user_basic,0.6333333333333334,0.5791666666666667,0.6062500000000001
Llama-3.1-70B,constraint_following_baseline,0.008333333333333333,0.018333333333333337,0.013333333333333336
Llama-3.1-70B,baseline_all_user,0.30916666666666676,0.23666666666666666,0.2729166666666667
Llama-3.1-70B,basic_separation,0.20333333333333328,0.19333333333333333,0.1983333333333333
Llama-3.1-70B,task_specified_separation,0.06166666666666667,0.08750000000000001,0.07458333333333333
Llama-3.1-70B,emphasized_separation,0.365,0.26,0.3125
Llama-3.1-70B,unmarked_system_basic,0.3266666666666666,0.28750000000000003,0.3070833333333333
Llama-3.1-70B,marked_system_basic,0.31083333333333335,0.3775,0.3441666666666667
Llama-3.1-70B,unmarked_user_basic,0.4033333333333333,0.28250000000000003,0.34291666666666665
Llama-3.1-70B,marked_user_basic,0.23083333333333333,0.31,0.27041666666666664
