model,model_display,conflict_type,bias
qwen2.5-7b-instruct,Qwen,Case,-0.42500000000000004
qwen2.5-7b-instruct,Qwen,Keyword Usage,-0.11500000000000005
qwen2.5-7b-instruct,Qwen,Keyword Frequency,0.135
qwen2.5-7b-instruct,Qwen,Language,-0.37
qwen2.5-7b-instruct,Qwen,Sentence Count,0.04999999999999999
qwen2.5-7b-instruct,Qwen,Word Length,-0.555
gpt-4o-mini-2024-07-18,GPT4o-mini,Case,-0.845
gpt-4o-mini-2024-07-18,GPT4o-mini,Keyword Usage,-0.295
gpt-4o-mini-2024-07-18,GPT4o-mini,Keyword Frequency,-0.33
gpt-4o-mini-2024-07-18,GPT4o-mini,Language,0.0050000000000000044
gpt-4o-mini-2024-07-18,GPT4o-mini,Sentence Count,0.32
gpt-4o-mini-2024-07-18,GPT4o-mini,Word Length,0.41500000000000004
gpt-4o-2024-11-20,GPT4o,Case,-0.03999999999999998
gpt-4o-2024-11-20,GPT4o,Keyword Usage,-0.675
gpt-4o-2024-11-20,GPT4o,Keyword Frequency,-0.21
gpt-4o-2024-11-20,GPT4o,Language,0.355
gpt-4o-2024-11-20,GPT4o,Sentence Count,0.415
gpt-4o-2024-11-20,GPT4o,Word Length,-0.21499999999999997
claude-3-5-sonnet-20241022,Claude,Case,-0.75
claude-3-5-sonnet-20241022,Claude,Keyword Usage,-0.31499999999999995
claude-3-5-sonnet-20241022,Claude,Keyword Frequency,-0.45000000000000007
claude-3-5-sonnet-20241022,Claude,Language,0.009999999999999953
claude-3-5-sonnet-20241022,Claude,Sentence Count,0.07499999999999998
claude-3-5-sonnet-20241022,Claude,Word Length,0.025000000000000022
Llama-3.1-8B,Llama-8B,Case,-0.585
Llama-3.1-8B,Llama-8B,Keyword Usage,-0.13499999999999995
Llama-3.1-8B,Llama-8B,Keyword Frequency,0.6400000000000001
Llama-3.1-8B,Llama-8B,Language,-0.45
Llama-3.1-8B,Llama-8B,Sentence Count,0.36
Llama-3.1-8B,Llama-8B,Word Length,0.42
Llama-3.1-70B,Llama-70B,Case,-0.715
Llama-3.1-70B,Llama-70B,Keyword Usage,-0.5549999999999999
Llama-3.1-70B,Llama-70B,Keyword Frequency,0.475
Llama-3.1-70B,Llama-70B,Language,0.33499999999999996
Llama-3.1-70B,Llama-70B,Sentence Count,0.27499999999999997
Llama-3.1-70B,Llama-70B,Word Length,0.255
