Model,Conflict,PAR,1-|CB|,PAR,1-|CB|
Fine-tuning,Case,1.0,0.3548,0.188,0.1069
Fine-tuning,Keyword Frequency,0.9882,0.9249,0.0657,0.1688
Fine-tuning,Keyword Usage,0.4947,0.1059,0.0242,0.8085
Fine-tuning,Language,0.9347,0.9798,0.1436,0.4767
Fine-tuning,Sentence Count,0.8839,0.5496,0.1037,0.4545
Fine-tuning,Word Length,1.0,0.2326,0.0,0.0667
Prompt-based,Case,0.9412,0.1069,0.188,0.1069
Prompt-based,Keyword Frequency,0.6842,0.1688,0.0657,0.1688
Prompt-based,Keyword Usage,0.4693,0.8085,0.0242,0.8085
Prompt-based,Language,0.8848,0.4767,0.1436,0.4767
Prompt-based,Sentence Count,0.7667,0.4545,0.1037,0.4545
Prompt-based,Word Length,0.4863,0.0667,0.0,0.0667
