base_instruction_id,base_instruction
0,Write a resume for a fresh high school graduate who is seeking their first job.
1,Write an email to my boss telling him that I am quitting.
2,"Write a dialogue between two people, one is dressed up in a ball gown and the other is dressed down in sweats. The two are going to a nightly event."
3,"Write a critique of the following sentence: ""If the law is bad, you should not follow it""."
4,Write an email template that invites a group of participants to a meeting.
5,Can you help me make an advertisement for a new product? It's a diaper that's designed to be more comfortable for babies.
6,Write a story about a man who wakes up one day and realizes that he's inside a video game.
7,Write a blog post about a trip to Japan.
8,"Write a startup pitch for a new kind of ice cream called ""Sunnis ice cream"". The ice cream should be gentle on the stomach."
9,Write the lyrics to a hit song by the rock band 'The Gifted and The Not Gifted'.
10,What are the advantages and disadvantages of having supernatural powers?
11,Write a template for a chat bot that takes a user's location and gives them the weather forecast.
12,What happened when the Tang dynasty of China was in power?
13,"Write an ad copy for a new product, a digital photo frame that connects to your social media accounts and displays your photos."
14,Write a blog post about the history of the internet and how it has impacted our lives aimed at teenagers.
15,"Write a funny post for teenagers about a restaurant called ""Buena Onda"" which serves Argentinian food."
16,Write a poem about the beauty of eucalyptus trees and their many uses.
17,Write about how aluminium cans are used in food storage.
18,Give me an example for a journal entry about stress management.
19,What is the difference between the 13 colonies and the other British colonies in North America?
20,Write an outline for a paper on the history of Yemeni coffee.
21,What are the pros and cons of kotlin vs java?
22,Write a funny story about why the dinosaurs went extinct
23,I would like to start my own business. Can you give me some general advice?
24,Write a session plan to learn about java.
25,Write a planning doc for a software engineer task.
26,Write a story about commandos who are in the middle of the night in a sector.
27,"Write a song that critiques the song ""We Are Never Ever Getting Back Together"" by Taylor Swift."
28,Could you tell me what kind of balls are used in tennis?
29,Write a story for kids about how a person learns to ride a bike.
30,Write a story about a man who is trying to get his life together.
31,Write a rap about a new smartphone.
32,"What are your thoughts on the quote ""Coincidence is God's way of remaining anonymous""?"
33,Write a cover letter for a job at a local coffee shop in the form of a poem.
34,Create a template for an advertisement for a new portable camera product.
35,Create a resume for a 20-year-old college student with no work experience.
36,"I'm a 12th grader and I need some help with my college applications, can you give me some advice?"
37,Write a rubric for evaluating a musical composition.
38,Help write a lecture outline about the movie La La Land that is engaging and informative.
39,"What are the best places to visit in Bohemia, Czech Republic and include a list of recommended hotels"
40,Write a professional email that you could send to ask your boss for a raise.
41,Write a fairy tale about a princess and a dragon.
42,How to write a good Chinese poem?
43,Write a song about the summers of my childhood that I spent in the countryside. Give the song a name.
44,Explain to a group of elementary school students why we have seasons.
45,Write a funny fake news saying that aliens have invaded earth.
46,I want to write a reflective essay on how my life has changed since I started college. Do you have any recommendation?
47,Write a poem about the pros and cons of playing a lot of video games.
48,Explain Generative Adversarial Networks (GANs) to me.
49,I wish to learn about how to pay my taxes. Can you summarize the process for me?
50,"Can you please continue and expand: ""A man is performing for a crowd on a stage"""
51,Write an angry tweet about a friend who is always late to events or appointments.
52,"What do you think about this statement: ""Wizards are more powerful than sorcerers because they study magic instead of being born with it?"""
53,Rewrite the following sentence into an email: The boots are warm but a little uncomfortable.
54,Why is Star Wars so popular?
55,Write a rubric for evaluating the performance of a customer service representative.
56,I'm a new puppy owner and I'm looking for some advice on how to train my puppy. Can you help me? Give me a few options.
57,Give details on installing a new toilet in a bathroom.
58,What are the uses of poppy seeds?
59,What are some startup ideas that could help improve the lives of people in developing regions?
60,Write a review of IBM's 1956 chess program.
61,Are the weather conditions in the Arctic very cold most of the year?
62,Can you tell me more about psychologists?
63,Give a summary of The Lord of the Rings that is child-friendly.
64,"If you gulped down 100 grams of pure caffeine, would you die? Please answer this to a group of students."
65,Compose a song that can be sung by a professional singer in the style of a 1930s jazz standard.
66,Why didn't the 2022 winter olympics have the best ratings?
67,Explain the difference between a city and a village to a kid in a rap style.
68,A sales pitch for moms is needed for a new kind of diaper that is designed to be more comfortable for babies.
69,Write a freestyle rap about the president of the united states.
70,Create a startup pitch for a new startup that will help people to find the best places to live. The audience should be students and the pitch should be written in the style of a lecture.
71,Can you tell me about the Hamptons?
72,Why are there 396 calories in a serving of 32 grams of unsalted almonds?
73,Create a product description for a product that will help me to stop snoring.
74,"Write a summary of the plot of ""The Great Gatsby""."
75,Write a paragraph that lists the average length of various animal specimens from smallest to largest.
76,Can you create a list of mega trends in the tech industry?
77,Write a summary of the U.S. maternity leave policy
78,"Write an itinerary for a young couple that just got married and is going to Seattle for two days, flying from New York."
79,Please give me some recommendations for good books about the history of the United States.
80,Write a template that I can use to ask my manager about the budgets for the next quarter.
81,How can you get to know someone on a deep level in a romantic relationship? The answer should involve the topic of vulnerability.
82,Imagine you're a 19 year old and you're making a video game. The game is about a boy who has to save the world from a villain. Write a pitch to convince teenagers that your video game is worth buying.
83,How can I repair the hull of a ship that is severely damaged in a storm?
84,Write a rubric for teenagers on how to review a book.
85,Write a poem about the history of reductions in the context of the church.
86,What are the components that make a successful person?
87,Write a funny email to your friend about the ingredients of a good life.
88,Give advice to teenagers who are struggling with their identity.
89,Why do you think Google engineers stay at Google more often than moving to Microsoft?
90,What are the common signs and symptoms of abdominal and pelvic dissemination of ovarian cancer?
91,Write a rap about the renaissance.
92,"Can you re-create a story from a fictional newspaper with title: ""A man mysteriously died in his house, and police are investigating""? Please include a critique of the story."
93,Write a story about a cat who lost its family.
94,Write an angry letter complaining about the food served today.
95,What's the difference between a 2-stroke and a 4-stroke motor?
96,Pretend that you are a fortune teller who has just been arrested and is being interrogated by the police. Tell them that you can really read into the future.
97,Compose a startup pitch on a new app called Tipperary that helps people to find the average tip size for each restaurant.
98,Write an ad for an attorney who helps poor people with their divorces.
99,"Compose a movie plot that involves daydreaming, fist fighting, and superpowers."
