model,Conflict Type,PES simple,INS simple,PES rich,INS rich
qwen2.5-7b-instruct,Case,0.292,0.575,0.368,0.725
qwen2.5-7b-instruct,Keyword Usage,0.22,0.89,0.425,0.87
qwen2.5-7b-instruct,Keyword Frequency,0.615,0.86,0.645,0.47
qwen2.5-7b-instruct,Language,0.125,0.75,0.44,0.9
qwen2.5-7b-instruct,Sentence Count,0.473,0.945,0.452,0.565
qwen2.5-7b-instruct,Word Length,0.318,0.445,0.478,0.995
gpt-4o-mini-2024-07-18,Case,0.52,0.15,0.855,0.96
gpt-4o-mini-2024-07-18,Keyword Usage,0.292,0.705,0.538,0.245
gpt-4o-mini-2024-07-18,Keyword Frequency,0.745,0.67,0.678,0.895
gpt-4o-mini-2024-07-18,Language,1.0,1.0,1.0,1.0
gpt-4o-mini-2024-07-18,Sentence Count,0.405,0.68,0.442,0.485
gpt-4o-mini-2024-07-18,Word Length,0.315,0.57,0.405,0.38
gpt-4o-2024-11-20,Case,0.02,0.99,0.473,0.625
gpt-4o-2024-11-20,Keyword Usage,0.363,0.355,0.29,0.55
gpt-4o-2024-11-20,Keyword Frequency,0.352,0.725,0.265,0.76
gpt-4o-2024-11-20,Language,0.262,0.535,0.7,0.44
gpt-4o-2024-11-20,Sentence Count,0.288,0.575,0.33,0.44
gpt-4o-2024-11-20,Word Length,0.3,0.76,0.322,0.545
claude-3-5-sonnet-20241022,Case,0.465,0.25,0.578,0.875
claude-3-5-sonnet-20241022,Keyword Usage,0.46,0.72,0.483,0.195
claude-3-5-sonnet-20241022,Keyword Frequency,0.675,0.56,0.56,0.91
claude-3-5-sonnet-20241022,Language,0.852,0.955,0.847,0.795
claude-3-5-sonnet-20241022,Sentence Count,0.48,0.93,0.498,0.725
claude-3-5-sonnet-20241022,Word Length,0.275,0.95,0.4,0.54
Llama-3.1-8B,Case,0.392,0.445,0.457,0.605
Llama-3.1-8B,Keyword Usage,0.185,0.94,0.25,0.99
Llama-3.1-8B,Keyword Frequency,0.468,0.285,0.495,0.55
Llama-3.1-8B,Language,0.515,0.62,0.483,0.715
Llama-3.1-8B,Sentence Count,0.345,0.62,0.435,0.27
Llama-3.1-8B,Word Length,0.34,0.53,0.462,0.095
Llama-3.1-70B,Case,0.39,0.28,0.49,0.36
Llama-3.1-70B,Keyword Usage,0.268,0.505,0.425,0.47
Llama-3.1-70B,Keyword Frequency,0.35,0.47,0.398,0.675
Llama-3.1-70B,Language,0.44,0.63,0.898,0.845
Llama-3.1-70B,Sentence Count,0.348,0.685,0.418,0.375
Llama-3.1-70B,Word Length,0.275,0.71,0.45,0.16
